epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4401,1.6027,1.50742,1.09863,0.75817,0.64693,0.74573,0.41996,1.45619,1.07297,1.05277,0.0006639,0.0006639,0.0006639
2,22.0143,1.52128,1.09169,1.08175,0.80311,0.70594,0.79855,0.46305,1.42433,0.98721,1.05498,0.00131739,0.00131739,0.00131739
3,32.2258,1.50934,1.012,1.08268,0.79591,0.65573,0.76132,0.44046,1.47315,1.00361,1.07838,0.00195769,0.00195769,0.00195769
4,42.4145,1.47372,0.95853,1.07004,0.83905,0.73626,0.8264,0.47063,1.44647,0.85516,1.06627,0.0019406,0.0019406,0.0019406
5,52.5503,1.44328,0.91692,1.06013,0.83006,0.74475,0.83836,0.50715,1.36424,0.84232,1.03333,0.0019208,0.0019208,0.0019208
6,62.6949,1.43294,0.89073,1.05417,0.807,0.72855,0.82084,0.49826,1.38647,0.88327,1.04627,0.001901,0.001901,0.001901
7,72.8823,1.39115,0.8568,1.041,0.84736,0.75915,0.85521,0.52091,1.34431,0.80446,1.02196,0.0018812,0.0018812,0.0018812
8,83.1688,1.39869,0.85069,1.04158,0.84572,0.76775,0.85905,0.51424,1.36748,0.78776,1.03658,0.0018614,0.0018614,0.0018614
9,93.315,1.36509,0.82759,1.0299,0.86304,0.77976,0.87593,0.54094,1.30683,0.77036,1.01338,0.0018416,0.0018416,0.0018416
10,103.508,1.35812,0.81013,1.02886,0.85389,0.78796,0.87136,0.5325,1.32225,0.76294,1.01393,0.0018218,0.0018218,0.0018218
11,113.619,1.35,0.81179,1.02567,0.86358,0.77622,0.87383,0.54878,1.28974,0.75426,1.00558,0.001802,0.001802,0.001802
12,123.824,1.33902,0.79233,1.01888,0.8604,0.79524,0.87699,0.54379,1.28728,0.7413,1.00834,0.0017822,0.0017822,0.0017822
13,133.938,1.31577,0.78054,1.01074,0.85943,0.79497,0.88128,0.54905,1.2816,0.73394,1.00013,0.0017624,0.0017624,0.0017624
14,144.319,1.3029,0.76342,1.00793,0.87437,0.81306,0.89602,0.56434,1.2603,0.71399,0.99596,0.0017426,0.0017426,0.0017426
15,154.465,1.30629,0.76613,1.00615,0.86785,0.80397,0.89204,0.55834,1.27187,0.71796,0.99806,0.0017228,0.0017228,0.0017228
16,164.716,1.2849,0.75301,0.99916,0.86829,0.80876,0.89577,0.56148,1.25851,0.71693,0.99253,0.001703,0.001703,0.001703
17,174.809,1.28975,0.74625,0.99968,0.87289,0.78848,0.88826,0.5668,1.24437,0.72448,0.98791,0.0016832,0.0016832,0.0016832
18,184.792,1.28532,0.73753,0.99723,0.88404,0.80836,0.89534,0.5732,1.25083,0.70096,0.99204,0.0016634,0.0016634,0.0016634
19,194.98,1.273,0.73667,0.99589,0.86589,0.82216,0.89705,0.55928,1.26048,0.69622,0.98939,0.0016436,0.0016436,0.0016436
20,205.195,1.27129,0.73193,0.99654,0.88109,0.82316,0.90038,0.57696,1.23375,0.66889,0.98434,0.0016238,0.0016238,0.0016238
21,215.238,1.27277,0.72548,0.9929,0.87979,0.83257,0.90795,0.57762,1.24422,0.67411,0.98604,0.001604,0.001604,0.001604
22,225.269,1.24962,0.7108,0.98797,0.87841,0.79956,0.89465,0.57111,1.2419,0.68644,0.98463,0.0015842,0.0015842,0.0015842
23,235.399,1.2485,0.70797,0.9873,0.88454,0.82757,0.9071,0.57554,1.23706,0.6732,0.9841,0.0015644,0.0015644,0.0015644
24,245.451,1.24964,0.71174,0.99221,0.884,0.82931,0.90836,0.58389,1.22105,0.65945,0.98167,0.0015446,0.0015446,0.0015446
25,255.575,1.24201,0.70332,0.98278,0.87944,0.83323,0.90815,0.58295,1.22542,0.65674,0.97584,0.0015248,0.0015248,0.0015248
26,266.072,1.23266,0.69913,0.98215,0.87502,0.83897,0.91183,0.58929,1.20583,0.65391,0.97047,0.001505,0.001505,0.001505
27,276.133,1.22793,0.69047,0.97909,0.87342,0.82815,0.9068,0.5862,1.2122,0.65453,0.97583,0.0014852,0.0014852,0.0014852
28,286.243,1.22523,0.68723,0.979,0.87706,0.83629,0.91172,0.59695,1.1943,0.64148,0.97045,0.0014654,0.0014654,0.0014654
29,296.32,1.22039,0.68299,0.9748,0.88648,0.83157,0.91047,0.59347,1.19407,0.64494,0.96774,0.0014456,0.0014456,0.0014456
30,306.44,1.21225,0.67472,0.97151,0.89006,0.84216,0.91438,0.59283,1.19072,0.63429,0.97333,0.0014258,0.0014258,0.0014258
31,316.552,1.19524,0.67164,0.96899,0.8878,0.82537,0.90707,0.59684,1.18336,0.64378,0.96531,0.001406,0.001406,0.001406
32,326.79,1.20642,0.66927,0.96825,0.88073,0.84049,0.91347,0.59881,1.19312,0.64419,0.96622,0.0013862,0.0013862,0.0013862
33,352.731,1.19802,0.66751,0.96953,0.88027,0.85437,0.91924,0.59786,1.19368,0.634,0.97035,0.0013664,0.0013664,0.0013664
34,362.779,1.19281,0.66155,0.96756,0.88336,0.83917,0.91434,0.597,1.19942,0.632,0.97179,0.0013466,0.0013466,0.0013466
35,372.957,1.19362,0.66275,0.96855,0.88514,0.84783,0.91768,0.59929,1.17995,0.62016,0.96602,0.0013268,0.0013268,0.0013268
36,382.933,1.18876,0.66007,0.96201,0.88883,0.83717,0.91407,0.60671,1.17799,0.63028,0.96133,0.001307,0.001307,0.001307
37,393.278,1.17772,0.65294,0.96487,0.88775,0.83377,0.91468,0.60891,1.16607,0.62627,0.95954,0.0012872,0.0012872,0.0012872
38,403.356,1.17058,0.6407,0.95852,0.8904,0.85157,0.92069,0.61278,1.15283,0.60704,0.95799,0.0012674,0.0012674,0.0012674
39,413.511,1.1741,0.64532,0.95814,0.88899,0.85557,0.92304,0.60958,1.16591,0.60712,0.96279,0.0012476,0.0012476,0.0012476
40,423.68,1.17564,0.64514,0.96167,0.89235,0.84377,0.91783,0.61413,1.16025,0.61631,0.95689,0.0012278,0.0012278,0.0012278
41,433.946,1.16586,0.64007,0.95915,0.87425,0.84837,0.91606,0.60529,1.17054,0.61463,0.9622,0.001208,0.001208,0.001208
42,444.082,1.16572,0.64323,0.95943,0.88523,0.8579,0.92211,0.61431,1.15575,0.60519,0.95679,0.0011882,0.0011882,0.0011882
43,488.061,1.16389,0.63864,0.95569,0.90043,0.83697,0.92121,0.61197,1.16533,0.61108,0.95787,0.0011684,0.0011684,0.0011684
44,498.151,1.16321,0.63627,0.95837,0.88943,0.85017,0.92349,0.61552,1.15666,0.60197,0.9572,0.0011486,0.0011486,0.0011486
